Effective date ,S&P 500,,,,,,,,
7/1/19,2964.33,,,,,,,,
7/2/19,2973.01,,,,,,,,
7/3/19,2995.82,,,,,,,,
7/5/19,2990.41,,,,,,,,
7/8/19,2975.95,,,,,,,,
7/9/19,2979.63,,,,,,,,
7/10/19,2993.07,,,,,,,,
7/11/19,2999.91,,,,,,,,
7/12/19,3013.77,,,,,,,,
7/15/19,3014.3,,,,,,,,
7/16/19,3004.04,,,,,,,,
7/17/19,2984.42,,,,,,,,
7/18/19,2995.11,,,,,,,,
7/19/19,2976.61,,,,,,,,
7/22/19,2985.03,,,,,,,,
7/23/19,3005.47,,,,,,,,
7/24/19,3019.56,,,,,,,,
7/25/19,3003.67,,,,,,,,
7/26/19,3025.86,,,,,,,,
7/29/19,3020.97,,,,,,,,
7/30/19,3013.18,,,,,,,,
7/31/19,2980.38,,,,,,,,
8/1/19,2953.56,,,,,,,,
8/2/19,2932.05,,,,,,,,
8/5/19,2844.74,,,,,,,,
8/6/19,2881.77,,,,,,,,
8/7/19,2883.98,,,,,,,,
8/8/19,2938.09,,,,,,,,
8/9/19,2918.65,,,,,,,,
8/12/19,2883.75,,,,,,,,
8/13/19,2926.32,,,,,,,,
8/14/19,2840.6,,,,,,,,
8/15/19,2847.6,,,,,,,,
8/16/19,2888.68,,,,,,,,
8/19/19,2923.65,,,,,,,,
8/20/19,2900.51,,,,,,,,
8/21/19,2924.43,,,,,,,,
8/22/19,2922.95,,,,,,,,
8/23/19,2847.11,,,,,,,,
8/26/19,2878.38,,,,,,,,
8/27/19,2869.16,,,,,,,,
8/28/19,2887.94,,,,,,,,
8/29/19,2924.58,,,,,,,,
8/30/19,2926.46,,,,,,,,
9/3/19,2906.27,,,,,,,,
9/4/19,2937.78,,,,,,,,
9/5/19,2976,,,,,,,,
9/6/19,2978.71,,,,,,,,
9/9/19,2978.43,,,,,,,,
9/10/19,2979.39,,,,,,,,
9/11/19,3000.93,,,,,,,,
9/12/19,3009.57,,,,,,,,
9/13/19,3007.39,,,,,,,,
9/16/19,2997.96,,,,,,,,
9/17/19,3005.7,,,,,,,,
9/18/19,3006.73,,,,,,,,
9/19/19,3006.79,,,,,,,,
9/20/19,2992.07,,,,,,,,
9/23/19,2991.78,,,,,,,,
9/24/19,2966.6,,,,,,,,
9/25/19,2984.87,,,,,,,,
9/26/19,2977.62,,,,,,,,
9/27/19,2961.79,,,,,,,,
9/30/19,2976.74,,,,,,,,
10/1/19,2940.25,,,,,,,,
10/2/19,2887.61,,,,,,,,
10/3/19,2910.63,,,,,,,,
10/4/19,2952.01,,,,,,,,
10/7/19,2938.79,,,,,,,,
10/8/19,2893.06,,,,,,,,
10/9/19,2919.4,,,,,,,,
10/10/19,2938.13,,,,,,,,
10/11/19,2970.27,,,,,,,,
10/14/19,2966.15,,,,,,,,
10/15/19,2995.68,,,,,,,,
10/16/19,2989.69,,,,,,,,
10/17/19,2997.95,,,,,,,,
10/18/19,2986.2,,,,,,,,
10/21/19,3006.72,,,,,,,,
10/22/19,2995.99,,,,,,,,
10/23/19,3004.52,,,,,,,,
10/24/19,3010.29,,,,,,,,
10/25/19,3022.55,,,,,,,,
10/28/19,3039.42,,,,,,,,
10/29/19,3036.89,,,,,,,,
10/30/19,3046.77,,,,,,,,
10/31/19,3037.56,,,,,,,,
11/1/19,3066.91,,,,,,,,
11/4/19,3078.27,,,,,,,,
11/5/19,3074.62,,,,,,,,
11/6/19,3076.78,,,,,,,,
11/7/19,3085.18,,,,,,,,
11/8/19,3093.08,,,,,,,,
11/11/19,3087.01,,,,,,,,
11/12/19,3091.84,,,,,,,,
11/13/19,3094.04,,,,,,,,
11/14/19,3096.63,,,,,,,,
11/15/19,3120.46,,,,,,,,
11/18/19,3122.03,,,,,,,,
11/19/19,3120.18,,,,,,,,
11/20/19,3108.46,,,,,,,,
11/21/19,3103.54,,,,,,,,
11/22/19,3110.29,,,,,,,,
11/25/19,3133.64,,,,,,,,
11/26/19,3140.52,,,,,,,,
11/27/19,3153.63,,,,,,,,
11/29/19,3140.98,,,,,,,,
12/2/19,3113.87,,,,,,,,
12/3/19,3093.2,,,,,,,,
12/4/19,3112.76,,,,,,,,
12/5/19,3117.43,,,,,,,,
12/6/19,3145.91,,,,,,,,
12/9/19,3135.96,,,,,,,,
12/10/19,3132.52,,,,,,,,
12/11/19,3141.63,,,,,,,,
12/12/19,3168.57,,,,,,,,
12/13/19,3168.8,,,,,,,,
12/16/19,3191.45,,,,,,,,
12/17/19,3192.52,,,,,,,,
12/18/19,3191.14,,,,,,,,
12/19/19,3205.37,,,,,,,,
12/20/19,3221.22,,,,,,,,
12/23/19,3224.01,,,,,,,,
12/24/19,3223.38,,,,,,,,
12/26/19,3239.91,,,,,,,,
12/27/19,3240.02,,,,,,,,
12/30/19,3221.29,,,,,,,,
12/31/19,3230.78,,,,,,,,
1/2/20,3257.85,,,,,,,,
1/3/20,3234.85,,,,,,,,
1/6/20,3246.28,,,,,,,,
1/7/20,3237.18,,,,,,,,
1/8/20,3253.05,,,,,,,,
1/9/20,3274.7,,,,,,,,
1/10/20,3265.35,,,,,,,,
1/13/20,3288.13,,,,,,,,
1/14/20,3283.15,,,,,,,,
1/15/20,3289.29,,,,,,,,
1/16/20,3316.81,,,,,,,,
1/17/20,3329.62,,,,,,,,
1/21/20,3320.79,,,,,,,,
1/22/20,3321.75,,,,,,,,
1/23/20,3325.54,,,,,,,,
1/24/20,3295.47,,,,,,,,
1/27/20,3243.63,,,,,,,,
1/28/20,3276.24,,,,,,,,
1/29/20,3273.4,,,,,,,,
1/30/20,3283.66,,,,,,,,
1/31/20,3225.52,,,,,,,,
2/3/20,3248.92,,,,,,,,
2/4/20,3297.59,,,,,,,,
2/5/20,3334.69,,,,,,,,
2/6/20,3345.78,,,,,,,,
2/7/20,3327.71,,,,,,,,
2/10/20,3352.09,,,,,,,,
2/11/20,3357.75,,,,,,,,
2/12/20,3379.45,,,,,,,,
2/13/20,3373.94,,,,,,,,
2/14/20,3380.16,,,,,,,,
2/18/20,3370.29,,,,,,,,
2/19/20,3386.15,,,,,,,,
2/20/20,3373.23,,,,,,,,
2/21/20,3337.75,,,,,,,,
2/24/20,3225.89,,,,,,,,
2/25/20,3128.21,,,,,,,,
2/26/20,3116.39,,,,,,,,
2/27/20,2978.76,,,,,,,,
2/28/20,2954.22,,,,,,,,
3/2/20,3090.23,,,,,,,,
3/3/20,3003.37,,,,,,,,
3/4/20,3130.12,,,,,,,,
3/5/20,3023.94,,,,,,,,
3/6/20,2972.37,,,,,,,,
3/9/20,2746.56,,,,,,,,
3/10/20,2882.23,,,,,,,,
3/11/20,2741.38,,,,,,,,
3/12/20,2480.64,,,,,,,,
3/13/20,2711.02,,,,,,,,
3/16/20,2386.13,,,,,,,,
3/17/20,2529.19,,,,,,,,
3/18/20,2398.1,,,,,,,,
3/19/20,2409.39,,,,,,,,
3/20/20,2304.92,,,,,,,,
3/23/20,2237.4,,,,,,,,
3/24/20,2447.33,,,,,,,,
3/25/20,2475.56,,,,,,,,
3/26/20,2630.07,,,,,,,,
3/27/20,2541.47,,,,,,,,
3/30/20,2626.65,,,,,,,,
3/31/20,2584.59,,,,,,,,
4/1/20,2470.5,,,,,,,,
4/2/20,2526.9,,,,,,,,
4/3/20,2488.65,,,,,,,,
4/6/20,2663.68,,,,,,,,
4/7/20,2659.41,,,,,,,,
4/8/20,2749.98,,,,,,,,
4/9/20,2789.82,,,,,,,,
4/13/20,2761.63,,,,,,,,
4/14/20,2846.06,,,,,,,,
4/15/20,2783.36,,,,,,,,
4/16/20,2799.55,,,,,,,,
4/17/20,2874.56,,,,,,,,
4/20/20,2823.16,,,,,,,,
4/21/20,2736.56,,,,,,,,
4/22/20,2799.31,,,,,,,,
4/23/20,2797.8,,,,,,,,
4/24/20,2836.74,,,,,,,,
4/27/20,2878.48,,,,,,,,
4/28/20,2863.39,,,,,,,,
4/29/20,2939.51,,,,,,,,
4/30/20,2912.43,,,,,,,,
5/1/20,2830.71,,,,,,,,
5/4/20,2842.74,,,,,,,,
5/5/20,2868.44,,,,,,,,
5/6/20,2848.42,,,,,,,,
5/7/20,2881.19,,,,,,,,
5/8/20,2929.8,,,,,,,,
5/11/20,2930.32,,,,,,,,
5/12/20,2870.12,,,,,,,,
5/13/20,2820,,,,,,,,
5/14/20,2852.5,,,,,,,,
5/15/20,2863.7,,,,,,,,
5/18/20,2953.91,,,,,,,,
5/19/20,2922.94,,,,,,,,
5/20/20,2971.61,,,,,,,,
5/21/20,2948.51,,,,,,,,
5/22/20,2955.45,,,,,,,,
5/26/20,2991.77,,,,,,,,
5/27/20,3036.13,,,,,,,,
5/28/20,3029.73,,,,,,,,
5/29/20,3044.31,,,,,,,,
6/1/20,3055.73,,,,,,,,
6/2/20,3080.82,,,,,,,,
6/3/20,3122.87,,,,,,,,
6/4/20,3112.35,,,,,,,,
6/5/20,3193.93,,,,,,,,
6/8/20,3232.39,,,,,,,,
6/9/20,3207.18,,,,,,,,
6/10/20,3190.14,,,,,,,,
6/11/20,3002.1,,,,,,,,
6/12/20,3041.31,,,,,,,,
6/15/20,3066.59,,,,,,,,
6/16/20,3124.74,,,,,,,,
6/17/20,3113.49,,,,,,,,
6/18/20,3115.34,,,,,,,,
6/19/20,3097.74,,,,,,,,
6/22/20,3117.86,,,,,,,,
6/23/20,3131.29,,,,,,,,
6/24/20,3050.33,,,,,,,,
6/25/20,3083.76,,,,,,,,
6/26/20,3009.05,,,,,,,,
6/29/20,3053.24,,,,,,,,
6/30/20,3100.29,,,,,,,,
7/1/20,3115.86,,,,,,,,
7/2/20,3130.01,,,,,,,,
7/6/20,3179.72,,,,,,,,
7/7/20,3145.32,,,,,,,,
7/8/20,3169.94,,,,,,,,
7/9/20,3152.05,,,,,,,,
7/10/20,3185.04,,,,,,,,
7/13/20,3155.22,,,,,,,,
7/14/20,3197.52,,,,,,,,
7/15/20,3226.56,,,,,,,,
7/16/20,3215.57,,,,,,,,
7/17/20,3224.73,,,,,,,,
7/20/20,3251.84,,,,,,,,
7/21/20,3257.3,,,,,,,,
7/22/20,3276.02,,,,,,,,
7/23/20,3235.66,,,,,,,,
7/24/20,3215.63,,,,,,,,
7/27/20,3239.41,,,,,,,,
7/28/20,3218.44,,,,,,,,
7/29/20,3258.44,,,,,,,,
7/30/20,3246.22,,,,,,,,
7/31/20,3271.12,,,,,,,,
8/3/20,3294.61,,,,,,,,
8/4/20,3306.51,,,,,,,,
8/5/20,3327.77,,,,,,,,
8/6/20,3349.16,,,,,,,,
8/7/20,3351.28,,,,,,,,
8/10/20,3360.47,,,,,,,,
8/11/20,3333.69,,,,,,,,
8/12/20,3380.35,,,,,,,,
8/13/20,3373.43,,,,,,,,
8/14/20,3372.85,,,,,,,,
8/17/20,3381.99,,,,,,,,
8/18/20,3389.78,,,,,,,,
8/19/20,3374.85,,,,,,,,
8/20/20,3385.51,,,,,,,,
8/21/20,3397.16,,,,,,,,
8/24/20,3431.28,,,,,,,,
8/25/20,3443.62,,,,,,,,
8/26/20,3478.73,,,,,,,,
8/27/20,3484.55,,,,,,,,
8/28/20,3508.01,,,,,,,,
8/31/20,3500.31,,,,,,,,
9/1/20,3526.65,,,,,,,,
9/2/20,3580.84,,,,,,,,
9/3/20,3455.06,,,,,,,,
9/4/20,3426.96,,,,,,,,
9/8/20,3331.84,,,,,,,,
9/9/20,3398.96,,,,,,,,
9/10/20,3339.19,,,,,,,,
9/11/20,3340.97,,,,,,,,
9/14/20,3383.54,,,,,,,,
9/15/20,3401.2,,,,,,,,
9/16/20,3385.49,,,,,,,,
9/17/20,3357.01,,,,,,,,
9/18/20,3319.47,,,,,,,,
9/21/20,3281.06,,,,,,,,
9/22/20,3315.57,,,,,,,,
9/23/20,3236.92,,,,,,,,
9/24/20,3246.59,,,,,,,,
9/25/20,3298.46,,,,,,,,
9/28/20,3351.6,,,,,,,,
9/29/20,3335.47,,,,,,,,
9/30/20,3363,,,,,,,,
10/1/20,3380.8,,,,,,,,
10/2/20,3348.44,,,,,,,,
10/5/20,3408.63,,,,,,,,
10/6/20,3360.95,,,,,,,,
10/7/20,3419.45,,,,,,,,
10/8/20,3446.83,,,,,,,,
10/9/20,3477.13,,,,,,,,
10/12/20,3534.22,,,,,,,,
10/13/20,3511.93,,,,,,,,
10/14/20,3488.67,,,,,,,,
10/15/20,3483.34,,,,,,,,
10/16/20,3483.81,,,,,,,,
10/19/20,3426.92,,,,,,,,
10/20/20,3443.12,,,,,,,,
10/21/20,3435.56,,,,,,,,
10/22/20,3453.49,,,,,,,,
10/23/20,3465.39,,,,,,,,
10/26/20,3400.97,,,,,,,,
10/27/20,3390.68,,,,,,,,
10/28/20,3271.03,,,,,,,,
10/29/20,3310.11,,,,,,,,
10/30/20,3269.96,,,,,,,,
11/2/20,3310.24,,,,,,,,
11/3/20,3369.16,,,,,,,,
11/4/20,3443.44,,,,,,,,
11/5/20,3510.45,,,,,,,,
11/6/20,3509.44,,,,,,,,
11/9/20,3550.5,,,,,,,,
11/10/20,3545.53,,,,,,,,
11/11/20,3572.66,,,,,,,,
11/12/20,3537.01,,,,,,,,
11/13/20,3585.15,,,,,,,,
11/16/20,3626.91,,,,,,,,
11/17/20,3609.53,,,,,,,,
11/18/20,3567.79,,,,,,,,
11/19/20,3581.87,,,,,,,,
11/20/20,3557.54,,,,,,,,
11/23/20,3577.59,,,,,,,,
11/24/20,3635.41,,,,,,,,
11/25/20,3629.65,,,,,,,,
11/27/20,3638.35,,,,,,,,
11/30/20,3621.63,,,,,,,,
12/1/20,3662.45,,,,,,,,
12/2/20,3669.01,,,,,,,,
12/3/20,3666.72,,,,,,,,
12/4/20,3699.12,,,,,,,,
12/7/20,3691.96,,,,,,,,
12/8/20,3702.25,,,,,,,,
12/9/20,3672.82,,,,,,,,
12/10/20,3668.1,,,,,,,,
12/11/20,3663.46,,,,,,,,
12/14/20,3647.49,,,,,,,,
12/15/20,3694.62,,,,,,,,
12/16/20,3701.17,,,,,,,,
12/17/20,3722.48,,,,,,,,
12/18/20,3709.41,,,,,,,,
12/21/20,3694.92,,,,,,,,
12/22/20,3687.26,,,,,,,,
12/23/20,3690.01,,,,,,,,
12/24/20,3703.06,,,,,,,,
12/28/20,3735.36,,,,,,,,
12/29/20,3727.04,,,,,,,,
12/30/20,3732.04,,,,,,,,
12/31/20,3756.07,,,,,,,,
1/4/21,3700.65,,,,,,,,
1/5/21,3726.86,,,,,,,,
1/6/21,3748.14,,,,,,,,
1/7/21,3803.79,,,,,,,,
1/8/21,3824.68,,,,,,,,
1/11/21,3799.61,,,,,,,,
1/12/21,3801.19,,,,,,,,
1/13/21,3809.84,,,,,,,,
1/14/21,3795.54,,,,,,,,
1/15/21,3768.25,,,,,,,,
1/19/21,3798.91,,,,,,,,
1/20/21,3851.85,,,,,,,,
1/21/21,3853.07,,,,,,,,
1/22/21,3841.47,,,,,,,,
1/25/21,3855.36,,,,,,,,
1/26/21,3849.62,,,,,,,,
1/27/21,3750.77,,,,,,,,
1/28/21,3787.38,,,,,,,,
1/29/21,3714.24,,,,,,,,
2/1/21,3773.86,,,,,,,,
2/2/21,3826.31,,,,,,,,
2/3/21,3830.17,,,,,,,,
2/4/21,3871.74,,,,,,,,
2/5/21,3886.83,,,,,,,,
2/8/21,3915.59,,,,,,,,
2/9/21,3911.23,,,,,,,,
2/10/21,3909.88,,,,,,,,
2/11/21,3916.38,,,,,,,,
2/12/21,3934.83,,,,,,,,
2/16/21,3932.59,,,,,,,,
2/17/21,3931.33,,,,,,,,
2/18/21,3913.97,,,,,,,,
2/19/21,3906.71,,,,,,,,
2/22/21,3876.5,,,,,,,,
2/23/21,3881.37,,,,,,,,
2/24/21,3925.43,,,,,,,,
2/25/21,3829.34,,,,,,,,
2/26/21,3811.15,,,,,,,,
3/1/21,3901.82,,,,,,,,
3/2/21,3870.29,,,,,,,,
3/3/21,3819.72,,,,,,,,
3/4/21,3768.47,,,,,,,,
3/5/21,3841.94,,,,,,,,
3/8/21,3821.35,,,,,,,,
3/9/21,3875.44,,,,,,,,
3/10/21,3898.81,,,,,,,,
3/11/21,3939.34,,,,,,,,
3/12/21,3943.34,,,,,,,,
3/15/21,3968.94,,,,,,,,
3/16/21,3962.71,,,,,,,,
3/17/21,3974.12,,,,,,,,
3/18/21,3915.46,,,,,,,,
3/19/21,3913.1,,,,,,,,
3/22/21,3940.59,,,,,,,,
3/23/21,3910.52,,,,,,,,
3/24/21,3889.14,,,,,,,,
3/25/21,3909.52,,,,,,,,
3/26/21,3974.54,,,,,,,,
3/29/21,3971.09,,,,,,,,
3/30/21,3958.55,,,,,,,,
3/31/21,3972.89,,,,,,,,
4/1/21,4019.87,,,,,,,,
4/5/21,4077.91,,,,,,,,
4/6/21,4073.94,,,,,,,,
4/7/21,4079.95,,,,,,,,
4/8/21,4097.17,,,,,,,,
4/9/21,4128.8,,,,,,,,
4/12/21,4127.99,,,,,,,,
4/13/21,4141.59,,,,,,,,
4/14/21,4124.66,,,,,,,,
4/15/21,4170.42,,,,,,,,
4/16/21,4185.47,,,,,,,,
4/19/21,4163.26,,,,,,,,
4/20/21,4134.94,,,,,,,,
4/21/21,4173.42,,,,,,,,
4/22/21,4134.98,,,,,,,,
4/23/21,4180.17,,,,,,,,
4/26/21,4187.62,,,,,,,,
4/27/21,4186.72,,,,,,,,
4/28/21,4183.18,,,,,,,,
4/29/21,4211.47,,,,,,,,
4/30/21,4181.17,,,,,,,,
5/3/21,4192.66,,,,,,,,
5/4/21,4164.66,,,,,,,,
5/5/21,4167.59,,,,,,,,
5/6/21,4201.62,,,,,,,,
5/7/21,4232.6,,,,,,,,
5/10/21,4188.43,,,,,,,,
5/11/21,4152.1,,,,,,,,
5/12/21,4063.04,,,,,,,,
5/13/21,4112.5,,,,,,,,
5/14/21,4173.85,,,,,,,,
5/17/21,4163.29,,,,,,,,
5/18/21,4127.83,,,,,,,,
5/19/21,4115.68,,,,,,,,
5/20/21,4159.12,,,,,,,,
5/21/21,4155.86,,,,,,,,
5/24/21,4197.05,,,,,,,,
5/25/21,4188.13,,,,,,,,
5/26/21,4195.99,,,,,,,,
5/27/21,4200.88,,,,,,,,
5/28/21,4204.11,,,,,,,,
6/1/21,4202.04,,,,,,,,
6/2/21,4208.12,,,,,,,,
6/3/21,4192.85,,,,,,,,
6/4/21,4229.89,,,,,,,,
6/7/21,4226.52,,,,,,,,
6/8/21,4227.26,,,,,,,,
6/9/21,4219.55,,,,,,,,
6/10/21,4239.18,,,,,,,,
6/11/21,4247.44,,,,,,,,
6/14/21,4255.15,,,,,,,,
6/15/21,4246.59,,,,,,,,
